model,display_model,true_author,predicted_author,count,work_groups
CH_SVM,CH-SVM,Ispirescu,Filimon,1,Ispirescu__AdvocatulGonitDinRai
CH_SVM,CH-SVM,Oltean,Slavici,1,Oltean__NuSiNuuuuuuuuuuuuuu
CH_SVM,CH-SVM,Plugaru,Rebreanu,1,Plugaru__CloscaBunicutei
CH_SVM,CH-SVM,Rebreanu,Eminescu,1,Rebreanu__Sfarsitul
CH_SVM,CH-SVM,Slavici,Garleanu,1,Slavici__DoiFratiBuni
CHiPS_F,CHiPS-F,Ispirescu,Filimon,1,Ispirescu__AdvocatulGonitDinRai
CHiPS_F,CHiPS-F,Oltean,Slavici,1,Oltean__NuSiNuuuuuuuuuuuuuu
CHiPS_F,CHiPS-F,Plugaru,Rebreanu,1,Plugaru__CloscaBunicutei
CHiPS_F,CHiPS-F,Slavici,Garleanu,1,Slavici__DoiFratiBuni
CHiPS_R,CHiPS-R,Eminescu,Filimon,1,Eminescu__FatFrumosDinLacrima
CHiPS_R,CHiPS-R,Ispirescu,Filimon,1,Ispirescu__AdvocatulGonitDinRai
CHiPS_R,CHiPS-R,Oltean,Slavici,1,Oltean__NuSiNuuuuuuuuuuuuuu
CHiPS_R,CHiPS-R,Plugaru,Rebreanu,1,Plugaru__CloscaBunicutei
CHiPS_R,CHiPS-R,Slavici,Garleanu,1,Slavici__DoiFratiBuni
FFT12_LR,FFT12-LR,Eminescu,Creanga,1,Eminescu__FrumoasaLumii
FFT12_LR,FFT12-LR,Eminescu,Plugaru,1,Eminescu__Poesis
FFT12_LR,FFT12-LR,Eminescu,Slavici,1,Eminescu__FatFrumosDinLacrima
FFT12_LR,FFT12-LR,Ispirescu,Delavrancea,1,Ispirescu__AdvocatulGonitDinRai
FFT12_LR,FFT12-LR,Oltean,Plugaru,1,Oltean__NuSiNuuuuuuuuuuuuuu
FFT12_LR,FFT12-LR,Rebreanu,Garleanu,2,Rebreanu__Baroneasa;Rebreanu__FamiliaMisterioasa
FFT12_LR,FFT12-LR,Rebreanu,Plugaru,1,Rebreanu__CanteculIubirii
FFT12_LR,FFT12-LR,Slavici,Ispirescu,1,Slavici__DoiFratiBuni
