model,display_model,author,support,correct,errors,false_positives,precision,recall,f1
CHAR_NGRAM_2_5_SVM,Char 2--5 TF-IDF SVM,Creanga,4,4,0,0,1.0,1.0,1.0
CHAR_NGRAM_2_5_SVM,Char 2--5 TF-IDF SVM,Delavrancea,6,6,0,0,1.0,1.0,1.0
CHAR_NGRAM_2_5_SVM,Char 2--5 TF-IDF SVM,Eminescu,4,4,0,0,1.0,1.0,1.0
CHAR_NGRAM_2_5_SVM,Char 2--5 TF-IDF SVM,Filimon,4,4,0,0,1.0,1.0,1.0
CHAR_NGRAM_2_5_SVM,Char 2--5 TF-IDF SVM,Garleanu,6,6,0,0,1.0,1.0,1.0
CHAR_NGRAM_2_5_SVM,Char 2--5 TF-IDF SVM,Ispirescu,6,6,0,0,1.0,1.0,1.0
CHAR_NGRAM_2_5_SVM,Char 2--5 TF-IDF SVM,Oltean,5,5,0,0,1.0,1.0,1.0
CHAR_NGRAM_2_5_SVM,Char 2--5 TF-IDF SVM,Plugaru,6,6,0,0,1.0,1.0,1.0
CHAR_NGRAM_2_5_SVM,Char 2--5 TF-IDF SVM,Rebreanu,9,9,0,0,1.0,1.0,1.0
CHAR_NGRAM_2_5_SVM,Char 2--5 TF-IDF SVM,Slavici,8,8,0,0,1.0,1.0,1.0
CH_SVM,CH-SVM,Creanga,4,4,0,0,1.0,1.0,1.0
CH_SVM,CH-SVM,Delavrancea,6,6,0,0,1.0,1.0,1.0
CH_SVM,CH-SVM,Eminescu,4,4,0,1,0.8,1.0,0.888888888888889
CH_SVM,CH-SVM,Filimon,4,4,0,1,0.8,1.0,0.888888888888889
CH_SVM,CH-SVM,Garleanu,6,6,0,1,0.8571428571428571,1.0,0.923076923076923
CH_SVM,CH-SVM,Ispirescu,6,5,1,0,1.0,0.8333333333333334,0.9090909090909091
CH_SVM,CH-SVM,Oltean,5,4,1,0,1.0,0.8,0.888888888888889
CH_SVM,CH-SVM,Plugaru,6,5,1,0,1.0,0.8333333333333334,0.9090909090909091
CH_SVM,CH-SVM,Rebreanu,9,8,1,1,0.8888888888888888,0.8888888888888888,0.8888888888888888
CH_SVM,CH-SVM,Slavici,8,7,1,1,0.875,0.875,0.875
FFT12_LR,FFT12-LR,Creanga,4,4,0,1,0.8,1.0,0.888888888888889
FFT12_LR,FFT12-LR,Delavrancea,6,6,0,1,0.8571428571428571,1.0,0.923076923076923
FFT12_LR,FFT12-LR,Eminescu,4,1,3,0,1.0,0.25,0.4
FFT12_LR,FFT12-LR,Filimon,4,4,0,0,1.0,1.0,1.0
FFT12_LR,FFT12-LR,Garleanu,6,6,0,2,0.75,1.0,0.8571428571428571
FFT12_LR,FFT12-LR,Ispirescu,6,5,1,1,0.8333333333333334,0.8333333333333334,0.8333333333333334
FFT12_LR,FFT12-LR,Oltean,5,4,1,0,1.0,0.8,0.888888888888889
FFT12_LR,FFT12-LR,Plugaru,6,6,0,3,0.6666666666666666,1.0,0.8
FFT12_LR,FFT12-LR,Rebreanu,9,6,3,0,1.0,0.6666666666666666,0.8
FFT12_LR,FFT12-LR,Slavici,8,7,1,1,0.875,0.875,0.875
CHiPS_F,CHiPS-F,Creanga,4,4,0,0,1.0,1.0,1.0
CHiPS_F,CHiPS-F,Delavrancea,6,6,0,0,1.0,1.0,1.0
CHiPS_F,CHiPS-F,Eminescu,4,4,0,0,1.0,1.0,1.0
CHiPS_F,CHiPS-F,Filimon,4,4,0,1,0.8,1.0,0.888888888888889
CHiPS_F,CHiPS-F,Garleanu,6,6,0,1,0.8571428571428571,1.0,0.923076923076923
CHiPS_F,CHiPS-F,Ispirescu,6,5,1,0,1.0,0.8333333333333334,0.9090909090909091
CHiPS_F,CHiPS-F,Oltean,5,4,1,0,1.0,0.8,0.888888888888889
CHiPS_F,CHiPS-F,Plugaru,6,5,1,0,1.0,0.8333333333333334,0.9090909090909091
CHiPS_F,CHiPS-F,Rebreanu,9,9,0,1,0.9,1.0,0.9473684210526316
CHiPS_F,CHiPS-F,Slavici,8,7,1,1,0.875,0.875,0.875
CHiPS_R,CHiPS-R,Creanga,4,4,0,0,1.0,1.0,1.0
CHiPS_R,CHiPS-R,Delavrancea,6,6,0,0,1.0,1.0,1.0
CHiPS_R,CHiPS-R,Eminescu,4,3,1,0,1.0,0.75,0.8571428571428571
CHiPS_R,CHiPS-R,Filimon,4,4,0,2,0.6666666666666666,1.0,0.8
CHiPS_R,CHiPS-R,Garleanu,6,6,0,1,0.8571428571428571,1.0,0.923076923076923
CHiPS_R,CHiPS-R,Ispirescu,6,5,1,0,1.0,0.8333333333333334,0.9090909090909091
CHiPS_R,CHiPS-R,Oltean,5,4,1,0,1.0,0.8,0.888888888888889
CHiPS_R,CHiPS-R,Plugaru,6,5,1,0,1.0,0.8333333333333334,0.9090909090909091
CHiPS_R,CHiPS-R,Rebreanu,9,9,0,1,0.9,1.0,0.9473684210526316
CHiPS_R,CHiPS-R,Slavici,8,7,1,1,0.875,0.875,0.875
