alpha_ch_svm,accuracy,macro_f1,balanced_accuracy
0.0,0.647954329210276,0.5960637258032029,0.6024290831304252
0.05,0.6489058039961941,0.596642154799141,0.602643905901639
0.1,0.6527117031398668,0.6013303602015538,0.607814494154934
0.15,0.6612749762131304,0.6078997006177251,0.615396022846523
0.2,0.6669838249286394,0.6132770068842645,0.6198790149795659
0.25,0.6717411988582302,0.616738780735065,0.6229206172692884
0.3,0.6764985727878211,0.6212170159537201,0.6273343489637376
0.35,0.6917221693625119,0.6381282665191135,0.6453344362742282
0.4,0.7050428163653664,0.6544173439446558,0.6638301330445248
0.45,0.7202664129400571,0.6677300651319528,0.6758684513653108
0.5,0.7373929590865842,0.6843976969337411,0.6913592887754202
0.55,0.7611798287345385,0.7193632835238608,0.7263852399639752
0.6,0.7811607992388202,0.7468797500422074,0.7575977630096684
0.65,0.8001902949571836,0.7674559076415629,0.7795009319796222
0.7,0.8249286393910561,0.7934938738947943,0.8029946175703607
0.75,0.8439581351094196,0.8133669708644313,0.8226854546445638
0.8,0.8744053282588011,0.8427780266279284,0.8503293784234269
0.85,0.8877259752616555,0.8596169620650641,0.8669045318714954
0.9,0.9000951474785919,0.8754865007772984,0.884676697185207
0.95,0.9000951474785919,0.8779824106043264,0.8908414964983027
1.0,0.8896289248334919,0.8654307524061904,0.8807803376819974
