order,ngram_min,ngram_max,c,class_weight,min_df,sublinear_tf,mean_accuracy,std_accuracy,mean_macro_f1,std_macro_f1,mean_balanced_accuracy,std_balanced_accuracy
0,2,5,0.03,,1,False,0.5420624151967435,0.03798701267792382,0.4606336759226889,0.041315079416721925,0.47566666666666657,0.034135449300792764
1,2,5,0.03,,1,True,0.6738579828132065,0.04830859300265769,0.5828204250463558,0.04698027826110722,0.6017142857142858,0.046869654898073966
2,2,5,0.03,,2,False,0.5480325644504749,0.04022420041372531,0.46795268278986557,0.04452360869285044,0.4820158730158729,0.035749871160353275
3,2,5,0.03,,2,True,0.6917684305744007,0.033639109643081935,0.5954392391234496,0.034683735505652714,0.6199999999999999,0.032929842507804584
4,2,5,0.03,balanced,1,False,0.8802351876978742,0.037765473123521104,0.8767425242456204,0.040320050015045406,0.8792207792207792,0.0386507266455818
5,2,5,0.03,balanced,1,True,0.9161917684305744,0.020150560794884774,0.9054193479379238,0.02267410916633952,0.9074033189033189,0.02280318324332061
6,2,5,0.03,balanced,2,False,0.8772501130710086,0.04661080477785779,0.8751850294528314,0.04887254785057781,0.8789112554112555,0.04717669780191948
7,2,5,0.03,balanced,2,True,0.9191768430574399,0.02228232275197236,0.9105713947215497,0.02555972482954394,0.9114033189033188,0.026216374603319752
8,2,5,0.1,,1,False,0.8024423337856174,0.030140446951239755,0.7477135318299405,0.03979311872246714,0.7591746031746032,0.037866803532589866
9,2,5,0.1,,1,True,0.8951153324287653,0.02169096891005977,0.8717973536984843,0.04133871355030653,0.8686507936507937,0.03817796078030366
10,2,5,0.1,,2,False,0.8113975576662144,0.0291012355353151,0.7637366623057025,0.047997441086803636,0.7706746031746031,0.041500788482827615
11,2,5,0.1,,2,True,0.9131614654002714,0.01468913823904952,0.893359057694971,0.023454343587616524,0.8896507936507938,0.024550101486413404
12,2,5,0.1,balanced,1,False,0.8892356399819086,0.030678196341353724,0.8858517887341417,0.03455573050055528,0.8939112554112555,0.030181607243190876
13,2,5,0.1,balanced,1,True,0.9341474445952059,0.015154147620939154,0.9272361188862737,0.01961099147155606,0.9317604617604618,0.01662717361963902
14,2,5,0.1,balanced,2,False,0.8892356399819086,0.030678196341353724,0.8858517887341417,0.03455573050055528,0.8939112554112555,0.030181607243190876
15,2,5,0.1,balanced,2,True,0.9341474445952059,0.015154147620939154,0.9272361188862737,0.01961099147155606,0.9317604617604618,0.01662717361963902
16,2,5,0.3,,1,False,0.9131614654002714,0.025715837699825522,0.9053277147688913,0.02989993953789324,0.9021269841269841,0.030987054246317054
17,2,5,0.3,,1,True,0.9461329715061059,0.011841207180065897,0.9406709247065285,0.009831974744522522,0.936984126984127,0.009228353561075939
18,2,5,0.3,,2,False,0.9192220714608774,0.02754792216146381,0.9140907327966152,0.028272334418503867,0.9111269841269841,0.027675111862077117
19,2,5,0.3,,2,True,0.9461329715061059,0.011841207180065897,0.9406709247065285,0.009831974744522522,0.936984126984127,0.009228353561075939
20,2,5,0.3,balanced,1,False,0.9281320669380371,0.04159597029601061,0.9252308463810012,0.042168039898422265,0.9307049062049062,0.036583323057839484
21,2,5,0.3,balanced,1,True,0.9550429669832654,0.009728207985169301,0.9517719719221269,0.010356000386737573,0.9552049062049062,0.01078336701726585
22,2,5,0.3,balanced,2,False,0.9221619176843058,0.038212621289798854,0.920508624158779,0.03935953225056249,0.9267049062049063,0.03415944473322696
23,2,5,0.3,balanced,2,True,0.9550429669832654,0.009728207985169301,0.9517719719221269,0.010356000386737573,0.9552049062049062,0.01078336701726585
24,2,5,1.0,,1,False,0.9611035730438715,0.02765375694595198,0.958313022374942,0.028398391247467965,0.9582539682539682,0.027963325872513007
25,2,5,1.0,,1,True,0.9670737222976029,0.005927509697116571,0.963501410010698,0.008669484133463213,0.9636984126984128,0.011180914523610266
26,2,5,1.0,,2,False,0.9611035730438715,0.02765375694595198,0.9588220721486976,0.027497419410896774,0.9582539682539682,0.027963325872513007
27,2,5,1.0,,2,True,0.9700587969244687,0.009441368280880269,0.9658873749229787,0.011579295140690905,0.9656984126984127,0.014204744078869706
28,2,5,1.0,balanced,1,False,0.955088195386703,0.031308902886886404,0.9533858417124673,0.034456795015046594,0.9569357864357866,0.03244095750631516
29,2,5,1.0,balanced,1,True,0.9700587969244685,0.009441368280880267,0.9659922525015405,0.01044291837340143,0.9665555555555556,0.013007120557032847
30,2,5,1.0,balanced,2,False,0.9580732700135683,0.02569578412757844,0.9566664304048207,0.028386437672004123,0.9594357864357865,0.0278971802296126
31,2,5,1.0,balanced,2,True,0.9700587969244685,0.009441368280880267,0.9648226618582656,0.012561575978641205,0.9665555555555556,0.013007120557032847
32,2,5,3.0,,1,False,0.9700587969244687,0.024975581408500695,0.9660034985654182,0.028769779424003595,0.967920634920635,0.026782364281988484
33,2,5,3.0,,1,True,0.9760289461781999,0.015257465213417453,0.9729396209225932,0.01792377312423474,0.9727777777777777,0.018790593916986432
34,2,5,3.0,,2,False,0.9700587969244687,0.024975581408500695,0.9664893285249324,0.027898512166984978,0.967920634920635,0.026782364281988484
35,2,5,3.0,,2,True,0.9790140208050655,0.015275152548393804,0.9753255858348739,0.018306919011207876,0.9747777777777777,0.019837612361308304
36,2,5,3.0,balanced,1,False,0.9640886476707372,0.027663519549468857,0.9611743669127571,0.030534162283444598,0.9634761904761906,0.02853341386387433
37,2,5,3.0,balanced,1,True,0.9760289461781999,0.015257465213417453,0.9729396209225932,0.01792377312423474,0.9727777777777777,0.018790593916986432
38,2,5,3.0,balanced,2,False,0.9670737222976029,0.030433573960432815,0.9641768807388003,0.03209717940203597,0.9656984126984127,0.030770994774715166
39,2,5,3.0,balanced,2,True,0.9760289461781999,0.015257465213417453,0.9729396209225932,0.01792377312423474,0.9727777777777777,0.018790593916986432
40,2,5,10.0,,1,False,0.9760289461781999,0.020273225083784457,0.9717324362943559,0.023605056368292757,0.9727777777777777,0.02299221553719092
41,2,5,10.0,,1,True,0.9790140208050655,0.015275152548393804,0.9753255858348739,0.018306919011207876,0.9747777777777777,0.019837612361308304
42,2,5,10.0,,2,False,0.9760289461781999,0.020273225083784457,0.972562845651081,0.022185518715616224,0.9727777777777777,0.02299221553719092
43,2,5,10.0,,2,True,0.9790140208050655,0.015275152548393804,0.9753255858348739,0.018306919011207876,0.9747777777777777,0.019837612361308304
44,2,5,10.0,balanced,1,False,0.9790140208050655,0.015275152548393804,0.9762879918499114,0.016385563500559044,0.9777777777777779,0.015838693049960436
45,2,5,10.0,balanced,1,True,0.9760289461781999,0.015257465213417453,0.9729396209225932,0.01792377312423474,0.9727777777777777,0.018790593916986432
46,2,5,10.0,balanced,2,False,0.9790140208050655,0.015275152548393804,0.9762879918499114,0.016385563500559044,0.9777777777777779,0.015838693049960436
47,2,5,10.0,balanced,2,True,0.9790140208050655,0.015275152548393804,0.9753255858348739,0.018306919011207876,0.9747777777777777,0.019837612361308304
